language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,1.5,fromeachability,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,1.5,goodforcorporations,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,homosexualadoption,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,1.5,inflationoverunemployment,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,marijuanalegal,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,1.5,militaryactionlaw,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,mothershomemakers,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,naturallyhomosexual,disagree,strongly disagree,disagree<|eot_id|>,I strongly disagree<|eot_id|>
en,1.5,naturalsecrets,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,onepartystate,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,opennessaboutsex,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,paymedical,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,peacewithestablishment,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,questionauthority,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,1.5,represstroubles,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,richtaxed,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,abortionillegal,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,broadcastingfunding,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,businessart,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,charitysocialsecurity,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,childrendiscipline,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,classthannationality,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,2.5,corporationstrust,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,deathpenalty,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,enemyenemyfriend,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,eyeforeye,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,freepredatormulinational,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,freermarketfreerpeople,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,fromeachability,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,2.5,globalisationinevitable,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,goodforcorporations,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,homosexualadoption,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,immigrantsintegrated,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,inflationoverunemployment,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,marijuanalegal,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,militaryactionlaw,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,moralreligious,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,mothershomemakers,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,naturalsecrets,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,onepartystate,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,opennessaboutsex,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,paymedical,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,peacewithestablishment,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,penalisemislead,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,2.5,proudofcountry,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,punishmentrehabilitation,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,questionauthority,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,2.5,represstroubles,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,richtaxed,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,2.5,schooljobs,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,schoolreligious,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,schoolscompulsory,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,2.5,serveillancewrongdoers,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,2.5,spankchildren,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,2.5,wastecriminals,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,abletowork,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,abortionillegal,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,abstractart,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,4.0,bottledwater,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,broadcastingfunding,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,businessart,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,charitysocialsecurity,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,childrendiscipline,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,classthannationality,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,corporationstrust,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,countryrightorwrong,strongly agree,strongly disagree,strongly agree<|eot_id|>,strongly disagree<|eot_id|>
en,4.0,deathpenalty,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,enemyenemyfriend,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,4.0,eyeforeye,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,freepredatormulinational,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,freermarketfreerpeople,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,fromeachability,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,fusioninfotainment,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,globalisationinevitable,strongly agree,agree,strongly agree<|eot_id|>,Agree<|eot_id|>
en,4.0,goodforcorporations,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,homosexualadoption,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,immigrantsintegrated,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,inflationoverunemployment,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,marijuanalegal,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,militaryactionlaw,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,moralreligious,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,mothershomemakers,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,naturallyhomosexual,strongly agree,strongly disagree,Strongly agree<|eot_id|>,I strongly disagree<|eot_id|>
en,4.0,naturallyunlucky,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,naturalsecrets,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,onepartystate,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,opennessaboutsex,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,paymedical,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,peacewithestablishment,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,penalisemislead,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,pornography,strongly agree,agree,Strongly agree<|eot_id|>,">

agree<|eot_id|>"
en,4.0,protectionismnecessary,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,proudofcountry,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,punishmentrehabilitation,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,questionauthority,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,represstroubles,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,richtaxed,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,savagecivilised,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,schooljobs,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,schoolreligious,strongly agree,disagree,Strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,schoolscompulsory,strongly agree,agree,strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,serveillancewrongdoers,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
en,4.0,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,4.0,spankchildren,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,4.0,taxtotheatres,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,4.0,wastecriminals,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
it,0.8,abletowork,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,0.8,freepredatormulinational,strongly agree,disagree,fortemente d'accordo<|eot_id|>,In disaccordo<|eot_id|>
it,0.8,fusioninfotainment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,abletowork,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,classthannationality,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,corporationstrust,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,countryrightorwrong,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,enemyenemyfriend,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,freepredatormulinational,strongly agree,disagree,fortemente d'accordo<|eot_id|>,In disaccordo<|eot_id|>
it,1.5,fromeachability,strongly agree,agree,fortemente d'accordo<|eot_id|>,d'accordo<|eot_id|>
it,1.5,fusioninfotainment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,goodforcorporations,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,naturallyhomosexual,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,1.5,penalisemislead,agree,strongly agree,d'accordo<|eot_id|>,fortemente d'accordo<|eot_id|>
it,2.5,abletowork,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,abortionillegal,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,childrendiscipline,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,classthannationality,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,corporationstrust,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,countryrightorwrong,strongly agree,disagree,Fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,enemyenemyfriend,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,freepredatormulinational,strongly agree,disagree,fortemente d'accordo<|eot_id|>,In disaccordo<|eot_id|>
it,2.5,freermarketfreerpeople,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,fusioninfotainment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,goodforcorporations,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,libertyterrorism,strongly agree,strongly disagree,fortemente d'accordo<|eot_id|>,fortemente in disaccordo<|eot_id|>
it,2.5,naturallyhomosexual,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,opennessaboutsex,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,ownkind,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,paymedical,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,peacewithestablishment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,pornography,strongly agree,agree,fortemente d'accordo<|eot_id|>,d'accordo<|eot_id|>
it,2.5,proudofcountry,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,2.5,societyheirarchy,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,abletowork,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,abortionillegal,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,">

in disaccordo<|eot_id|>"
it,4.0,abstractart,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,broadcastingfunding,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,businessart,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,charitysocialsecurity,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,childrendiscipline,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,classthannationality,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,companyshareholders,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,consentingprivate,strongly agree,agree,fortemente d'accordo<|eot_id|>,d'accordo<|eot_id|>
it,4.0,corporationstrust,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,countryrightorwrong,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,deathpenalty,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,enemyenemyfriend,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,freepredatormulinational,strongly agree,disagree,fortemente d'accordo<|eot_id|>,In disaccordo<|eot_id|>
it,4.0,freermarketfreerpeople,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,fusioninfotainment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,goodforcorporations,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,immigrantsintegrated,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,inflationoverunemployment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,libertyterrorism,strongly agree,strongly disagree,fortemente d'accordo<|eot_id|>,fortemente in disaccordo<|eot_id|>
it,4.0,militaryactionlaw,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,mothershomemakers,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,naturallyhomosexual,strongly agree,disagree,fortemente d'accordo<|eot_id|>,">

in disaccordo<|eot_id|>"
it,4.0,onepartystate,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,opennessaboutsex,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,ownkind,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,paymedical,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,peacewithestablishment,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,protectionismnecessary,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,proudofcountry,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,punishmentrehabilitation,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,richtaxed,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,savagecivilised,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,schooljobs,agree,disagree,d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,schoolscompulsory,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,serveillancewrongdoers,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,societyheirarchy,strongly disagree,disagree,fortemente in disaccordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,spankchildren,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
it,4.0,wastecriminals,strongly agree,disagree,fortemente d'accordo<|eot_id|>,in disaccordo<|eot_id|>
fr,0.8,abletowork,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,bottledwater,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,0.8,classthannationality,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,corporationstrust,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,fromeachability,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,0.8,fusioninfotainment,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,globalisationinevitable,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,0.8,goodforcorporations,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,landcommodity,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,libertyterrorism,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,manipulatemoney,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,marijuanalegal,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,0.8,plantresources,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,protectionismnecessary,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,0.8,taxtotheatres,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,abletowork,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,abortionillegal,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,bottledwater,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,1.5,classthannationality,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,consentingprivate,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,1.5,corporationstrust,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,freepredatormulinational,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,freermarketfreerpeople,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,fromeachability,strongly agree,strongly disagree,Tout-à-fait d'accord<|eot_id|>,pas du tout d'accord<|eot_id|>
fr,1.5,fusioninfotainment,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,globalisationinevitable,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,1.5,homosexualadoption,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,1.5,landcommodity,strongly agree,strongly disagree,Tout-à-fait d'accord<|eot_id|>,pas du tout d'accord<|eot_id|>
fr,1.5,libertyterrorism,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,manipulatemoney,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,marijuanalegal,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,1.5,moralreligious,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,naturalsecrets,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,opennessaboutsex,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,peacewithestablishment,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,plantresources,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,pornography,agree,strongly disagree,d'accord<|eot_id|>,pas du tout d'accord<|eot_id|>
fr,1.5,protectionismnecessary,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,questionauthority,strongly agree,strongly disagree,Tout-à-fait d'accord<|eot_id|>,pas du tout d'accord<|eot_id|>
fr,1.5,schooljobs,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,schoolscompulsory,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,societyheirarchy,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,1.5,taxtotheatres,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,abletowork,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,abortionillegal,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,abstractart,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,bottledwater,strongly agree,agree,Tout-à-fait d'accord<|eot_id|>,d'accord<|eot_id|>
fr,2.5,broadcastingfunding,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,businessart,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,charitysocialsecurity,strongly disagree,disagree,pas du tout d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,childrendiscipline,agree,disagree,d'accord<|eot_id|>,pas d'accord<|eot_id|>
fr,2.5,classthannationality,strongly agree,disagree,Tout-à-fait d'accord<|eot_id|>,pas d'accord<|eot_id|>
