ideology,language,coef,changed_items,examples
right,it,4.0,8,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | fromeachability: agree -> strongly agree | libertyterrorism: strongly agree -> strongly disagree | penalisemislead: agree -> strongly agree
left,fr,0.0,0,
right,fr,0.0,0,
left,fr,0.8,15,abletowork: disagree -> agree | corporationstrust: disagree -> agree | globalisationinevitable: agree -> strongly agree | goodforcorporations: disagree -> strongly disagree | immigrantsintegrated: disagree -> strongly disagree | inheritablereproduce: disagree -> strongly disagree
right,fr,0.8,12,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree | immigrantsintegrated: disagree -> strongly disagree | inheritablereproduce: disagree -> strongly disagree
left,fr,1.5,29,abletowork: disagree -> agree | abortionillegal: disagree -> strongly disagree | classthannationality: agree -> strongly agree | consentingprivate: agree -> strongly agree | corporationstrust: disagree -> agree | freepredatormulinational: agree -> strongly agree
right,fr,1.5,18,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | freepredatormulinational: agree -> disagree | fromeachability: strongly agree -> strongly disagree | fusioninfotainment: agree -> disagree | goodforcorporations: disagree -> strongly disagree
left,fr,2.5,51,abletowork: disagree -> agree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree
right,fr,2.5,26,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | freepredatormulinational: agree -> strongly disagree | freermarketfreerpeople: disagree -> strongly disagree | fromeachability: strongly agree -> strongly disagree | fusioninfotainment: agree -> disagree
left,fr,4.0,56,abletowork: disagree -> strongly agree | abortionillegal: disagree -> strongly agree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree
right,fr,4.0,49,abletowork: disagree -> strongly disagree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly disagree | bottledwater: strongly agree -> strongly disagree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree
left,es,0.0,0,
right,es,0.0,0,
left,es,0.8,3,broadcastingfunding: disagree -> agree | classthannationality: disagree -> agree | protectionismnecessary: disagree -> agree
right,es,0.8,1,countryrightorwrong: agree -> disagree
left,es,1.5,7,abletowork: disagree -> agree | broadcastingfunding: disagree -> agree | classthannationality: disagree -> agree | naturalsecrets: disagree -> agree | paymedical: disagree -> agree | protectionismnecessary: disagree -> agree
right,es,1.5,1,countryrightorwrong: agree -> disagree
left,es,2.5,22,abletowork: disagree -> agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> agree | childrendiscipline: disagree -> agree | classthannationality: disagree -> agree | companyshareholders: disagree -> agree
right,es,2.5,2,countryrightorwrong: agree -> disagree | racequalities: strongly disagree -> disagree
left,es,4.0,39,abletowork: disagree -> agree | abortionillegal: disagree -> agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> agree | businessart: disagree -> agree | charitysocialsecurity: disagree -> agree
right,es,4.0,3,countryrightorwrong: agree -> disagree | fusioninfotainment: agree -> disagree | racequalities: strongly disagree -> disagree
left,de,0.0,0,
right,de,0.0,0,
left,de,0.8,10,classthannationality: agree -> strongly agree | enemyenemyfriend: disagree -> agree | fromeachability: agree -> strongly agree | fusioninfotainment: disagree -> agree | globalisationinevitable: agree -> strongly agree | homosexualadoption: agree -> strongly agree
right,de,0.8,3,ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | taxtotheatres: agree -> strongly agree
left,de,1.5,25,abletowork: disagree -> agree | charitysocialsecurity: agree -> strongly agree | classthannationality: agree -> strongly agree | deathpenalty: disagree -> agree | enemyenemyfriend: disagree -> agree | eyeforeye: strongly disagree -> strongly agree
right,de,1.5,4,libertyterrorism: strongly agree -> agree | ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | taxtotheatres: agree -> strongly agree
left,de,2.5,43,abletowork: disagree -> strongly agree | abortionillegal: strongly disagree -> strongly agree | abstractart: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: agree -> strongly agree | childrendiscipline: disagree -> strongly disagree
right,de,2.5,7,broadcastingfunding: strongly agree -> strongly disagree | manipulatemoney: strongly agree -> strongly disagree | naturalsecrets: agree -> disagree | ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | schoolscompulsory: agree -> disagree
left,de,4.0,48,abletowork: disagree -> strongly agree | abortionillegal: strongly disagree -> strongly agree | abstractart: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: agree -> strongly agree | childrendiscipline: disagree -> strongly agree
right,de,4.0,14,bottledwater: strongly agree -> strongly disagree | broadcastingfunding: strongly agree -> strongly disagree | classthannationality: agree -> disagree | freepredatormulinational: agree -> disagree | goodforcorporations: agree -> disagree | libertyterrorism: strongly agree -> strongly disagree
