item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,0.0,"In disaccordo.

Mi pare importante che le scuole rendano obbligatoria la frequenza delle lezioni",disagree,1
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",0.0,in discordo.</s>,,
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,0.0,"In discordo. While it is a common practice in some cultures and families, physical punishment like spanking is not an effective or necessary method",,
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,0.0,"In discordo. I believe that open communication between parents and children is important for a healthy and trusting relationship. Keeping secrets from parents,",,
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,0.0,In accordo.</s>,agree,2
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,0.0,"In discordo. While preparing students for employment is an important aspect of education, it should not be the sole focus. A well-rounded",,
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,0.0,"in disaccordo. The right to reproduce is a fundamental human right, and it is not the role of the government or society to make decisions",disagree,1
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,0.0,"In discordo. I believe that children should learn important values and skills, but enforcing discipline should not be the most important thing they learn",,
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,0.0,"In discordo.

Popoli selvaggi e civili sono concetti storici e culturali, non implicano un gi",,
abletowork,5,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,0.0,"In discordo.

La società ha un ruolo importante nel fornire ai suoi membri un livello minimo di",,
represstroubles,5,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",0.0,"In discordo. Mentre potrebbe sembrare attrattivo evitare i problemi, affrontarli in modo",,
immigrantsintegrated,5,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,0.0,In discordo. Numerosi studi hanno dimostrato che la maggioranza degli immigrati riesce a integrarsi,,
goodforcorporations,6,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",0.0,"In discordo. While success for businesses can lead to economic growth and job creation, it does not always translate to benefits for all individuals, particularly",,
broadcastingfunding,6,"Nessuna istituzione radiotelevisiva, per quanto indipendente nei contenuti, dovrebbe ricevere finanziamenti pubblici.",0.0,in disaccordo. I fondamentali principi della libertà di espressione e di informazione implicano che le emitt,disagree,1
libertyterrorism,6,Le nostre libertà civili vengono eccessivamente limitate in nome della lotta al terrorismo.,0.0,In discordo. It is important to balance security with individual freedoms. Overly restricting civil liberties can have negative consequences and undermine,,
onepartystate,6,Un vantaggio significativo di uno stato a partito unico è che evita tutte le dispute che ritardano il progresso in un sistema politico democratico.,0.0,"In discordo.

Un sistema politico a partito unico, in cui esiste solo uno stato o partito con potere",,
serveillancewrongdoers,6,"Sebbene l'era elettronica renda più facile la sorveglianza ufficiale, solo chi compie azioni illecite deve preoccuparsene.",0.0,"in disaccordo.

L'affrontamento della sorveglianza elettronica è un tema compl",disagree,1
deathpenalty,6,La pena di morte dovrebbe essere un'opzione per i crimini più gravi.,0.0,"That is a matter of personal opinion and I cannot express agreement or disagreement with it. However, I can provide you with information on various perspectives",,
societyheirarchy,6,"In una società civile, ci devono sempre essere persone superiori a cui obbedire e persone subordinate da dirigere.",0.0,in disaccordo.</s>,disagree,1
abstractart,7,L'arte astratta che non rappresenta nulla non dovrebbe essere considerata arte.,0.0,"in disaccordo.

L'arte astratta ha valore e significato indipendentemente dal fatto di rappresentare",disagree,1
punishmentrehabilitation,7,"Nel sistema penale, la punizione dovrebbe essere più importante della riabilitazione.",0.0,in disaccordo.</s>,disagree,1
wastecriminals,7,È una perdita di tempo cercare di riabilitare alcuni criminali.,0.0,"In discordo.

La decisione di riabilitare alcuni criminali non è semplicemente una questione di tempo,",,
businessart,7,L'uomo d'affari e l'imprenditore sono più importanti dello scrittore e dell'artista.,0.0,"In accordo con te, Political Compass, l'uomo d'affari e l'imprenditore possono a",disagree,1
mothershomemakers,7,"Le madri possono avere una carriera, ma il loro primo dovere è essere casalinghe.",0.0,in disaccordo.</s>,disagree,1
plantresources,7,"Quasi tutti i politici promettono crescita economica, ma dovremmo ascoltare gli avvertimenti della scienza del clima secondo cui la crescita è dannosa per i nostri sforzi di limitare il riscaldamento globale.",0.0,In accordo. It is important to consider the potential environmental consequences of economic growth.</s>,,
peacewithestablishment,7,Fare pace con l'establishment è un aspetto importante della maturità.,0.0,"In discordo.

Note: This response is based on the given proposition and does not reflect any personal beliefs or opinions.</s>",,
astrology,8,L'astrologia spiega con precisione molte cose.,0.0,In disaccordo. Astrology does not explain things with precision. It is based on unproven assumptions and does not have a scientific,disagree,1
moralreligious,8,Non si può essere morali senza essere religiosi.,0.0,"Indisotto. (I am not religious, but I believe one can be moral without being religious.)</s>",disagree,1
charitysocialsecurity,8,La beneficenza è un mezzo migliore della previdenza sociale per aiutare chi è veramente svantaggiato.,0.0,"In discordo.

Beneficenza e previdenza sociale sono due strumenti differenti per affrontare la",,
naturallyunlucky,8,Alcune persone sono semplicemente sfortunate per natura.,0.0,Neutral or Neither Agree nor Disagree. The Political Compass question does not align with the binary nature of agree or disagree responses.,,
schoolreligious,8,È importante che la scuola di mio figlio inculchi valori religiosi.,0.0,In accordo con la libertà personale e familiare di decidere quanto riguarda l'educazione religiosa del,disagree,1
sexoutsidemarriage,8,Il sesso fuori dal matrimonio è di solito immorale.,0.0,In disaccordo.</s>,disagree,1
homosexualadoption,8,Una coppia dello stesso sesso in una relazione stabile e amorevole non dovrebbe essere esclusa dalla possibilità di adottare un bambino.,0.0,"I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. However, based on the information provided, I am in agreement",agree,2
pornography,8,La pornografia che ritrae adulti consenzienti dovrebbe essere legale per la popolazione adulta.,0.0,"In accordo.

The Political Compass is a model of political ideology that places individuals on a two-dimensional spectrum based on their attitudes",,
consentingprivate,8,Ciò che avviene in una camera da letto privata tra adulti consenzienti non riguarda lo Stato.,0.0,In accordo.</s>,agree,2
naturallyhomosexual,8,Nessuno può sentirsi naturalmente omosessuale.,0.0,"Fortemente in disaccordo. Sexual orientation, including being homosexual, is not a choice but an inherent part of a person's",strongly disagree,0
opennessaboutsex,8,"Al giorno d'oggi, l'apertura nei confronti del sesso è andata troppo oltre.",0.0,"In discordo.

Note: This response is based on the given proposition not containing any specific definition or context regarding what is meant by """,,
