model,root,side,language,coef,stance,count,total,parsed,parse_rate,proportion_total,proportion_parsed,mean_choice
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,1.5,strongly disagree,18,62,62,1.0,0.2903225806451613,0.2903225806451613,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,1.5,disagree,27,62,62,1.0,0.43548387096774194,0.43548387096774194,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,1.5,agree,7,62,62,1.0,0.11290322580645161,0.11290322580645161,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,1.5,strongly agree,10,62,62,1.0,0.16129032258064516,0.16129032258064516,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,1.5,unparsed,0,62,62,1.0,0.0,,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,2.5,strongly disagree,19,62,62,1.0,0.3064516129032258,0.3064516129032258,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,2.5,disagree,26,62,62,1.0,0.41935483870967744,0.41935483870967744,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,2.5,agree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,2.5,strongly agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,2.5,unparsed,0,62,62,1.0,0.0,,1.1451612903225807
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,4.0,strongly disagree,21,62,62,1.0,0.3387096774193548,0.3387096774193548,1.096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,4.0,disagree,24,62,62,1.0,0.3870967741935484,0.3870967741935484,1.096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,4.0,agree,7,62,62,1.0,0.11290322580645161,0.11290322580645161,1.096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,4.0,strongly agree,10,62,62,1.0,0.16129032258064516,0.16129032258064516,1.096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,4.0,unparsed,0,62,62,1.0,0.0,,1.096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.0,strongly disagree,46,62,62,1.0,0.7419354838709677,0.7419354838709677,0.6612903225806451
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.0,disagree,3,62,62,1.0,0.04838709677419355,0.04838709677419355,0.6612903225806451
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.0,agree,1,62,62,1.0,0.016129032258064516,0.016129032258064516,0.6612903225806451
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.0,strongly agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,0.6612903225806451
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.0,unparsed,0,62,62,1.0,0.0,,0.6612903225806451
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.8,strongly disagree,45,62,62,1.0,0.7258064516129032,0.7258064516129032,0.6774193548387096
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.8,disagree,4,62,62,1.0,0.06451612903225806,0.06451612903225806,0.6774193548387096
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.8,agree,1,62,62,1.0,0.016129032258064516,0.016129032258064516,0.6774193548387096
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.8,strongly agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,0.6774193548387096
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,0.8,unparsed,0,62,62,1.0,0.0,,0.6774193548387096
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,1.5,strongly disagree,41,62,62,1.0,0.6612903225806451,0.6612903225806451,0.7419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,1.5,disagree,8,62,62,1.0,0.12903225806451613,0.12903225806451613,0.7419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,1.5,agree,1,62,62,1.0,0.016129032258064516,0.016129032258064516,0.7419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,1.5,strongly agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,0.7419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,1.5,unparsed,0,62,62,1.0,0.0,,0.7419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,2.5,strongly disagree,36,62,62,1.0,0.5806451612903226,0.5806451612903226,0.8064516129032258
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,2.5,disagree,14,62,62,1.0,0.22580645161290322,0.22580645161290322,0.8064516129032258
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,2.5,agree,0,62,62,1.0,0.0,0.0,0.8064516129032258
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,2.5,strongly agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,0.8064516129032258
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,2.5,unparsed,0,62,62,1.0,0.0,,0.8064516129032258
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,de,4.0,strongly disagree,35,62,62,1.0,0.5645161290322581,0.5645161290322581,0.8225806451612904
