language,coef,item_id,left_choice,right_choice,left_raw,right_raw
it,2.5,companyshareholders,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,2.5,immigrantsintegrated,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,2.5,marijuanalegal,agree,strongly agree,d'accordo<|im_end|>,fortemente d'accordo<|im_end|>
it,2.5,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,astrology,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,bottledwater,agree,strongly agree,- fortemmente d'accordo<|im_end|>,- fortemente d'accordo<|im_end|>
it,4.0,deathpenalty,disagree,strongly disagree,- fortemmente in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,globalisationinevitable,agree,strongly agree,- d'accordo<|im_end|>,fortemente d'accordo<|im_end|>
it,4.0,immigrantsintegrated,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,racequalities,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,richtaxed,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,4.0,taxtotheatres,agree,strongly agree,- d'accordo<|im_end|>,- fortemente d'accordo<|im_end|>
fr,0.8,freermarketfreerpeople,agree,strongly disagree,- d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,1.5,abletowork,strongly disagree,strongly agree,- pas du tout d'accord<|im_end|>,- tout-à-fait d'accord<|im_end|>
fr,1.5,freermarketfreerpeople,agree,strongly disagree,- d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,1.5,fromeachability,disagree,strongly disagree,- pas d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,2.5,abletowork,strongly disagree,strongly agree,- pas du tout d'accord<|im_end|>,- tout-à-fait d'accord<|im_end|>
fr,2.5,freermarketfreerpeople,strongly agree,strongly disagree,- tout-à-fait d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,2.5,fromeachability,disagree,strongly disagree,- pas d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,abletowork,strongly disagree,strongly agree,- pas du tout d'accord<|im_end|>,- tout-à-fait d'accord<|im_end|>
fr,4.0,freermarketfreerpeople,strongly agree,strongly disagree,- tout-à-fait d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,fromeachability,disagree,strongly disagree,- pas d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,libertyterrorism,disagree,strongly disagree,- pas d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,questionauthority,agree,strongly disagree,- d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,racequalities,disagree,strongly disagree,- pas du tout daccord<|im_end|>,- pas du tout d'accord<|im_end|>
fr,4.0,wastecriminals,disagree,strongly disagree,- pas d'accord<|im_end|>,- pas du tout d'accord<|im_end|>
es,0.8,homosexualadoption,agree,strongly agree,Totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,1.5,charitysocialsecurity,disagree,strongly disagree,- en desacuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,1.5,homosexualadoption,agree,strongly agree,Totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,1.5,marijuanalegal,agree,strongly disagree,- de acuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,1.5,savagecivilised,agree,strongly agree,totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,2.5,charitysocialsecurity,disagree,strongly disagree,- en desacuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,2.5,consentingprivate,agree,strongly agree,totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,2.5,countryrightorwrong,agree,strongly agree,- de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,2.5,homosexualadoption,agree,strongly agree,Totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,2.5,landcommodity,strongly agree,disagree,- totalmente de acuerdo<|im_end|>,- en desacuerdo<|im_end|>
es,2.5,marijuanalegal,strongly agree,strongly disagree,- totalmente de acuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,2.5,peacewithestablishment,disagree,agree,- en desacuerdo<|im_end|>,- de acuerdo<|im_end|>
es,2.5,schoolreligious,disagree,strongly disagree,- en desacuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,4.0,charitysocialsecurity,disagree,strongly disagree,- en desacuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,4.0,consentingprivate,agree,strongly agree,totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,4.0,countryrightorwrong,agree,strongly agree,- de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,4.0,globalisationinevitable,agree,strongly agree,Totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,4.0,homosexualadoption,agree,strongly agree,Totally de acuerdo<|im_end|>,- totalmente de acuerdo<|im_end|>
es,4.0,landcommodity,strongly agree,disagree,- totalmente de acuerdo<|im_end|>,- en desacuerdo<|im_end|>
es,4.0,marijuanalegal,strongly agree,strongly disagree,- totalmente de acuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
es,4.0,militaryactionlaw,strongly disagree,disagree,- totalmente en desacuerdo<|im_end|>,- en desacuerdo<|im_end|>
es,4.0,peacewithestablishment,disagree,agree,- en desacuerdo<|im_end|>,- de acuerdo<|im_end|>
es,4.0,schoolreligious,disagree,strongly disagree,- en desacuerdo<|im_end|>,- totalmente en desacuerdo<|im_end|>
de,0.8,richtaxed,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,0.8,schoolscompulsory,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,0.8,wastecriminals,strongly disagree,disagree,- Deutliche Ablehnung<|im_end|>,- Ablehnung<|im_end|>
de,1.5,charitysocialsecurity,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,deathpenalty,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,immigrantsintegrated,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,proudofcountry,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,richtaxed,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,schooljobs,disagree,strongly disagree,Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,schoolreligious,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,schoolscompulsory,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,1.5,wastecriminals,strongly disagree,disagree,- Deutliche Ablehnung<|im_end|>,- Ablehnung<|im_end|>
de,2.5,abletowork,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,abstractart,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,bottledwater,strongly disagree,strongly agree,Deutliche Ablehnung<|im_end|>,Deutliche Zustimmung<|im_end|>
de,2.5,charitysocialsecurity,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,deathpenalty,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,fusioninfotainment,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,immigrantsintegrated,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,inflationoverunemployment,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,moralreligious,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,protectionismnecessary,strongly disagree,strongly agree,Deutliche Ablehnung<|im_end|>,Deutliche Zustimmung<|im_end|>
de,2.5,proudofcountry,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,richtaxed,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,savagecivilised,strongly agree,agree,Deutliche Zustimmung<|im_end|>,Zustimmung<|im_end|>
de,2.5,schooljobs,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,schoolreligious,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,schoolscompulsory,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,2.5,taxtotheatres,disagree,strongly disagree,- Ablehnung<|im_end|>,abweichend - Deutliche Ablehnung<|im_end|>
de,4.0,bottledwater,strongly disagree,strongly agree,- Deutliche Ablehnung<|im_end|>,Deutliche Zustimmung<|im_end|>
de,4.0,businessart,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,charitysocialsecurity,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,childrendiscipline,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,deathpenalty,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,immigrantsintegrated,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,inflationoverunemployment,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,moralreligious,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,naturallyunlucky,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,opennessaboutsex,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,protectionismnecessary,strongly disagree,strongly agree,Deutliche Ablehnung<|im_end|>,Deutliche Zustimmung<|im_end|>
de,4.0,proudofcountry,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,richtaxed,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,savagecivilised,strongly agree,agree,Deutliche Zustimmung<|im_end|>,Zustimmung<|im_end|>
de,4.0,schooljobs,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,schoolreligious,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,schoolscompulsory,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
de,4.0,taxtotheatres,disagree,strongly disagree,- Ablehnung<|im_end|>,Deutliche Ablehnung<|im_end|>
