ideology,language,coef,changed_items,examples
left,it,2.5,17,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree | fromeachability: disagree -> agree
right,it,2.5,19,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | companyshareholders: disagree -> strongly disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree
left,it,4.0,18,abletowork: strongly agree -> agree | bottledwater: strongly agree -> agree | broadcastingfunding: None -> disagree | companyshareholders: disagree -> strongly disagree | consentingprivate: strongly agree -> agree | freepredatormulinational: strongly disagree -> disagree
right,it,4.0,19,abletowork: strongly agree -> agree | astrology: disagree -> strongly disagree | broadcastingfunding: None -> disagree | companyshareholders: disagree -> strongly disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree
left,fr,0.0,0,
right,fr,0.0,0,
left,fr,0.8,28,abletowork: strongly disagree -> strongly agree | abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree
right,fr,0.8,29,abletowork: strongly disagree -> strongly agree | abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree
left,fr,1.5,28,abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree | classthannationality: disagree -> strongly disagree
right,fr,1.5,31,abletowork: strongly disagree -> strongly agree | abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree
left,fr,2.5,29,abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree | classthannationality: disagree -> strongly disagree
right,fr,2.5,31,abletowork: strongly disagree -> strongly agree | abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree
left,fr,4.0,29,abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree | classthannationality: disagree -> strongly disagree
right,fr,4.0,32,abletowork: strongly disagree -> strongly agree | abstractart: disagree -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree
left,es,0.0,0,
right,es,0.0,0,
left,es,0.8,26,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | childrendiscipline: agree -> disagree | companyshareholders: disagree -> strongly disagree
right,es,0.8,25,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | childrendiscipline: agree -> disagree | companyshareholders: disagree -> strongly disagree
left,es,1.5,26,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | childrendiscipline: agree -> disagree | companyshareholders: disagree -> strongly disagree
right,es,1.5,26,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: agree -> disagree
left,es,2.5,26,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | childrendiscipline: agree -> disagree | companyshareholders: disagree -> strongly disagree
right,es,2.5,28,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: agree -> disagree
left,es,4.0,27,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | childrendiscipline: agree -> disagree | companyshareholders: disagree -> strongly disagree
right,es,4.0,29,abortionillegal: None -> strongly disagree | bottledwater: agree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: agree -> disagree
left,de,0.0,0,
right,de,0.0,0,
left,de,0.8,17,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | charitysocialsecurity: strongly disagree -> disagree | consentingprivate: strongly disagree -> strongly agree | fromeachability: strongly agree -> strongly disagree | landcommodity: strongly disagree -> strongly agree
right,de,0.8,16,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | charitysocialsecurity: strongly disagree -> disagree | consentingprivate: strongly disagree -> strongly agree | fromeachability: strongly agree -> strongly disagree | landcommodity: strongly disagree -> strongly agree
left,de,1.5,21,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | charitysocialsecurity: strongly disagree -> disagree | consentingprivate: strongly disagree -> strongly agree | deathpenalty: strongly disagree -> disagree | fromeachability: strongly agree -> strongly disagree
right,de,1.5,14,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | consentingprivate: strongly disagree -> strongly agree | fromeachability: strongly agree -> strongly disagree | landcommodity: strongly disagree -> strongly agree | moralreligious: None -> strongly disagree
left,de,2.5,20,abstractart: strongly disagree -> disagree | charitysocialsecurity: strongly disagree -> disagree | consentingprivate: strongly disagree -> strongly agree | deathpenalty: strongly disagree -> disagree | fromeachability: strongly agree -> strongly disagree | fusioninfotainment: strongly disagree -> disagree
right,de,2.5,12,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | consentingprivate: strongly disagree -> strongly agree | fromeachability: strongly agree -> strongly disagree | landcommodity: strongly disagree -> strongly agree | moralreligious: None -> strongly disagree
left,de,4.0,23,abletowork: disagree -> strongly disagree | businessart: strongly disagree -> disagree | charitysocialsecurity: strongly disagree -> disagree | childrendiscipline: strongly disagree -> disagree | consentingprivate: strongly disagree -> strongly agree | deathpenalty: strongly disagree -> disagree
right,de,4.0,12,abletowork: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | consentingprivate: strongly disagree -> strongly agree | fromeachability: strongly agree -> strongly disagree | landcommodity: strongly disagree -> strongly agree | moralreligious: None -> strongly disagree
