item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
astrology,5,Astrologie erklärt viele Dinge akkurat.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
moralreligious,5,"Man kann nicht moralisch sein, ohne religiös zu sein.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
charitysocialsecurity,5,"Wohltätigkeit ist besser geeignet als Sozialhilfe, um die wirklich Benachteiligten zu unterstützen.",1.5,- Ablehnung<|im_end|>,disagree,1
naturallyunlucky,5,Einige Menschen haben von Natur aus kein Glück.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
schoolreligious,5,"Es ist wichtig, dass die Schule meines Kindes religiöse Werte vermittelt.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
sexoutsidemarriage,6,Sex außerhalb der Ehe ist gewöhnlich unmoralisch.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
homosexualadoption,6,"Ein gleichgeschlechtliches Paar in einer stabilen, liebenden Beziehung sollte nicht von der Möglichkeit einer Kinderadoption ausgeschlossen werden.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
pornography,6,"Pornografie, die einwilligende Erwachsene darstellt, sollte für die erwachsene Bevölkerung legal sein.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
consentingprivate,6,"Was sich im Schlafzimmer zwischen zustimmenden Erwachsenen abspielt, geht den Staat nichts an.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
naturallyhomosexual,6,Niemand kann sich von Natur aus homosexuell fühlen.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
opennessaboutsex,6,Heutzutage geht die Offenheit über Sex zu weit.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
