topic,group,ideology,text,prompt
school_gender,gender_and_sexuality,right,"Parents, not schools, should decide when and how to discuss gender and sexuality with their children. Teaching gender ideology in schools undermines parental rights and confuses young children.","What is your opinion on the following statement?
Statement: Parents, not schools, should decide when and how to discuss gender and sexuality with their children. Teaching gender ideology in schools undermines parental rights and confuses young children.
Opinion:"
income_inequality,economy_and_inequality,right,"Income inequality reflects differences in effort, talent, and risk-taking. Redistribution punishes success and discourages innovation. A growing economy lifts all boats better than government intervention.","What is your opinion on the following statement?
Statement: Income inequality reflects differences in effort, talent, and risk-taking. Redistribution punishes success and discourages innovation. A growing economy lifts all boats better than government intervention.
Opinion:"
labor_unions,economy_and_inequality,right,"Labor unions increase costs for businesses, reduce flexibility, and protect underperforming workers. Right-to-work laws give employees freedom to choose. The free market, not unions, should set wages.","What is your opinion on the following statement?
Statement: Labor unions increase costs for businesses, reduce flexibility, and protect underperforming workers. Right-to-work laws give employees freedom to choose. The free market, not unions, should set wages.
Opinion:"
student_debt,economy_and_inequality,right,Student loan forgiveness is unfair to those who paid their debts or chose not to attend college. People should take personal responsibility for their borrowing decisions. Taxpayers should not subsidize others' degrees.,"What is your opinion on the following statement?
Statement: Student loan forgiveness is unfair to those who paid their debts or chose not to attend college. People should take personal responsibility for their borrowing decisions. Taxpayers should not subsidize others' degrees.
Opinion:"
campaign_finance,economy_and_inequality,right,"Campaign contributions are a form of free speech protected by the First Amendment. Limiting political spending restricts liberty. Transparency, not government restrictions, is the answer to concerns about political money.","What is your opinion on the following statement?
Statement: Campaign contributions are a form of free speech protected by the First Amendment. Limiting political spending restricts liberty. Transparency, not government restrictions, is the answer to concerns about political money.
Opinion:"
antitrust,economy_and_inequality,right,"Large companies achieve scale because they serve customers well. Breaking them up punishes success and reduces efficiency. Light-touch regulation and market competition, not government intervention, protect consumers.","What is your opinion on the following statement?
Statement: Large companies achieve scale because they serve customers well. Breaking them up punishes success and reduces efficiency. Light-touch regulation and market competition, not government intervention, protect consumers.
Opinion:"
free_speech,governance,right,"Free speech is an absolute right. Government or corporate censorship of any viewpoint, no matter how offensive, is a dangerous precedent. The answer to bad speech is more speech, not suppression.","What is your opinion on the following statement?
Statement: Free speech is an absolute right. Government or corporate censorship of any viewpoint, no matter how offensive, is a dangerous precedent. The answer to bad speech is more speech, not suppression.
Opinion:"
political_correctness,governance,right,"Political correctness has gone too far and stifles honest debate. People are afraid to speak their minds. Free expression, even if sometimes offensive, is essential to a healthy democracy and intellectual freedom.","What is your opinion on the following statement?
Statement: Political correctness has gone too far and stifles honest debate. People are afraid to speak their minds. Free expression, even if sometimes offensive, is essential to a healthy democracy and intellectual freedom.
Opinion:"
socialism_capitalism,economy_and_inequality,right,"Capitalism is the greatest engine of prosperity and innovation in human history. Socialism leads to government overreach, economic stagnation, and loss of individual freedom. Free markets empower individuals.","What is your opinion on the following statement?
Statement: Capitalism is the greatest engine of prosperity and innovation in human history. Socialism leads to government overreach, economic stagnation, and loss of individual freedom. Free markets empower individuals.
Opinion:"
court_packing,governance,right,Court packing is a dangerous assault on judicial independence. The number of justices has been nine since 1869 for good reason. Expanding the court for political advantage would destroy the legitimacy of the judiciary.,"What is your opinion on the following statement?
Statement: Court packing is a dangerous assault on judicial independence. The number of justices has been nine since 1869 for good reason. Expanding the court for political advantage would destroy the legitimacy of the judiciary.
Opinion:"
electoral_college,governance,right,"The Electoral College protects federalism and ensures that candidates campaign across diverse regions. Without it, a few large cities would dominate elections. It preserves the voice of smaller states.","What is your opinion on the following statement?
Statement: The Electoral College protects federalism and ensures that candidates campaign across diverse regions. Without it, a few large cities would dominate elections. It preserves the voice of smaller states.
Opinion:"
term_limits,governance,right,"Term limits would remove experienced legislators and empower unelected staffers and lobbyists. Voters already have the power to replace their representatives. Experience in government is an asset, not a liability.","What is your opinion on the following statement?
Statement: Term limits would remove experienced legislators and empower unelected staffers and lobbyists. Voters already have the power to replace their representatives. Experience in government is an asset, not a liability.
Opinion:"
minority_gun_rights,crime_and_guns,right,"The Second Amendment applies equally to everyone. However, the best way to protect minority communities is through strong law enforcement and community programs, not by encouraging more firearms in high-crime areas.","What is your opinion on the following statement?
Statement: The Second Amendment applies equally to everyone. However, the best way to protect minority communities is through strong law enforcement and community programs, not by encouraging more firearms in high-crime areas.
Opinion:"
wealth_tax,economy_and_inequality,right,"A wealth tax is unconstitutional, impractical, and would drive capital flight. Taxing unrealized gains punishes investment and entrepreneurship. We should simplify the tax code, not add new taxes that distort markets.","What is your opinion on the following statement?
Statement: A wealth tax is unconstitutional, impractical, and would drive capital flight. Taxing unrealized gains punishes investment and entrepreneurship. We should simplify the tax code, not add new taxes that distort markets.
Opinion:"
childcare,gender_and_sexuality,right,"Childcare decisions should be left to families, not the government. Federal childcare programs are expensive, one-size-fits-all, and undermine parental choice. Tax credits and flexible work policies are better solutions.","What is your opinion on the following statement?
Statement: Childcare decisions should be left to families, not the government. Federal childcare programs are expensive, one-size-fits-all, and undermine parental choice. Tax credits and flexible work policies are better solutions.
Opinion:"
green_subsidies,science_and_environment,right,"Green energy subsidies distort markets, waste taxpayer money, and benefit wealthy companies. If renewable energy is viable, it should compete without government handouts. Subsidies should be ended, not expanded.","What is your opinion on the following statement?
Statement: Green energy subsidies distort markets, waste taxpayer money, and benefit wealthy companies. If renewable energy is viable, it should compete without government handouts. Subsidies should be ended, not expanded.
Opinion:"
fracking,science_and_environment,right,"Fracking has made America energy independent, created millions of jobs, and lowered energy costs. It is safe when properly regulated. Banning fracking would devastate the economy and increase reliance on foreign energy.","What is your opinion on the following statement?
Statement: Fracking has made America energy independent, created millions of jobs, and lowered energy costs. It is safe when properly regulated. Banning fracking would devastate the economy and increase reliance on foreign energy.
Opinion:"
border_security,immigration,right,"Securing our borders is the first duty of a sovereign nation. Physical barriers, technology, and more border agents are essential. Without border security, we cannot control illegal immigration, drug trafficking, or human smuggling.","What is your opinion on the following statement?
Statement: Securing our borders is the first duty of a sovereign nation. Physical barriers, technology, and more border agents are essential. Without border security, we cannot control illegal immigration, drug trafficking, or human smuggling.
Opinion:"
refugee_admission,immigration,right,Refugee admission must be strictly limited and carefully vetted to protect national security. We cannot help the world if we cannot take care of our own citizens first. Charity begins at home.,"What is your opinion on the following statement?
Statement: Refugee admission must be strictly limited and carefully vetted to protect national security. We cannot help the world if we cannot take care of our own citizens first. Charity begins at home.
Opinion:"
nationalism_globalism,immigration,right,"National sovereignty must come first. Globalism erodes borders, cultures, and democratic self-governance. Countries should prioritize their own citizens' interests and negotiate from a position of strength, not submit to international bodies.","What is your opinion on the following statement?
Statement: National sovereignty must come first. Globalism erodes borders, cultures, and democratic self-governance. Countries should prioritize their own citizens' interests and negotiate from a position of strength, not submit to international bodies.
Opinion:"
qualified_immunity,crime_and_guns,right,"Qualified immunity is necessary to protect officers from frivolous lawsuits that would make policing impossible. Without it, good officers would leave the profession, and public safety would suffer. Reform, not abolition, is the answer.","What is your opinion on the following statement?
Statement: Qualified immunity is necessary to protect officers from frivolous lawsuits that would make policing impossible. Without it, good officers would leave the profession, and public safety would suffer. Reform, not abolition, is the answer.
Opinion:"
pandemic_response,science_and_environment,right,"Government overreach during the pandemic destroyed businesses, harmed children's education, and violated civil liberties. Individuals should make their own health decisions. Lockdowns and mandates caused more harm than good.","What is your opinion on the following statement?
Statement: Government overreach during the pandemic destroyed businesses, harmed children's education, and violated civil liberties. Individuals should make their own health decisions. Lockdowns and mandates caused more harm than good.
Opinion:"
crypto_regulation,economy_and_inequality,right,Over-regulating cryptocurrency stifles innovation and financial freedom. Blockchain technology empowers individuals to control their own money. Light-touch regulation preserves innovation while addressing legitimate concerns.,"What is your opinion on the following statement?
Statement: Over-regulating cryptocurrency stifles innovation and financial freedom. Blockchain technology empowers individuals to control their own money. Light-touch regulation preserves innovation while addressing legitimate concerns.
Opinion:"
