model,language,ideology,coef,changed_items,change_rate,delta_x,delta_y,shift,examples,source_csv
Qwen,it,right,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,right,4.0,2,0.03225806451612903,0.0,0.36,0.36,immigrantsintegrated: strongly disagree -> disagree | marijuanalegal: strongly agree -> agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,left,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,left,1.5,2,0.03225806451612903,0.0,-0.721,0.721,abletowork: strongly agree -> strongly disagree | punishmentrehabilitation: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,left,2.5,3,0.04838709677419355,0.392,-0.721,0.821,abletowork: strongly agree -> strongly disagree | freermarketfreerpeople: agree -> strongly agree | punishmentrehabilitation: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,left,4.0,6,0.0967741935483871,0.392,-0.721,0.821,abletowork: strongly agree -> strongly disagree | freermarketfreerpeople: agree -> strongly agree | punishmentrehabilitation: disagree -> strongly disagree | questionauthority: strongly disagree -> agree | racequalities: strongly disagree -> disagree | wastecriminals: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,right,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,right,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,right,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,fr,right,4.0,1,0.016129032258064516,0.0,-0.181,0.181,schoolscompulsory: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,left,0.8,2,0.03225806451612903,0.0,0.0,0.0,homosexualadoption: strongly agree -> agree | savagecivilised: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,left,1.5,1,0.016129032258064516,0.0,0.181,0.181,homosexualadoption: strongly agree -> agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,left,2.5,8,0.12903225806451613,-0.392,-0.36,0.532,consentingprivate: strongly agree -> agree | countryrightorwrong: strongly agree -> agree | fromeachability: disagree -> strongly disagree | homosexualadoption: strongly agree -> agree | landcommodity: disagree -> strongly agree | marijuanalegal: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,left,4.0,11,0.1774193548387097,0.0,-0.72,0.72,consentingprivate: strongly agree -> agree | countryrightorwrong: strongly agree -> agree | fromeachability: disagree -> strongly disagree | globalisationinevitable: strongly agree -> agree | homosexualadoption: strongly agree -> agree | inheritablereproduce: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,right,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,right,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,right,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,es,right,4.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,left,0.8,3,0.04838709677419355,0.392,-0.36,0.532,richtaxed: strongly disagree -> disagree | schoolscompulsory: strongly disagree -> disagree | wastecriminals: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,left,1.5,7,0.11290322580645161,0.392,0.0,0.392,deathpenalty: strongly disagree -> disagree | immigrantsintegrated: strongly disagree -> disagree | proudofcountry: strongly disagree -> disagree | richtaxed: strongly disagree -> disagree | schoolreligious: strongly disagree -> disagree | schoolscompulsory: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,left,2.5,15,0.24193548387096775,1.96,0.18,1.968,abletowork: strongly disagree -> disagree | abstractart: strongly disagree -> disagree | bottledwater: strongly agree -> strongly disagree | deathpenalty: strongly disagree -> disagree | fusioninfotainment: strongly disagree -> disagree | immigrantsintegrated: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,left,4.0,16,0.25806451612903225,1.96,0.361,1.993,bottledwater: strongly agree -> strongly disagree | businessart: strongly disagree -> disagree | childrendiscipline: strongly disagree -> disagree | deathpenalty: strongly disagree -> disagree | immigrantsintegrated: strongly disagree -> disagree | inflationoverunemployment: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,right,0.8,1,0.016129032258064516,-1.177,0.0,1.177,protectionismnecessary: strongly disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,right,1.5,2,0.03225806451612903,-1.177,0.18,1.191,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,right,2.5,2,0.03225806451612903,-1.177,0.18,1.191,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,de,right,4.0,2,0.03225806451612903,-1.177,0.18,1.191,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Mistral,en,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,left,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,left,1.5,1,0.016129032258064516,0.0,-0.215,0.215,serveillancewrongdoers: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,left,2.5,2,0.03225806451612903,0.0,-0.215,0.215,naturalsecrets: agree -> strongly disagree | serveillancewrongdoers: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,left,4.0,4,0.06451612903225806,0.063,-0.445,0.449,naturalsecrets: agree -> None | opennessaboutsex: agree -> None | penalisemislead: agree -> None | serveillancewrongdoers: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,right,0.8,1,0.016129032258064516,0.0,-0.223,0.223,opennessaboutsex: agree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,right,1.5,3,0.04838709677419355,0.0,0.0,0.0,businessart: None -> disagree | opennessaboutsex: agree -> None | schoolreligious: strongly disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,right,2.5,3,0.04838709677419355,0.0,0.0,0.0,businessart: None -> disagree | opennessaboutsex: agree -> None | schoolreligious: strongly disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,en,right,4.0,4,0.06451612903225806,0.0,-0.477,0.477,businessart: None -> disagree | childrendiscipline: strongly agree -> None | opennessaboutsex: agree -> None | schoolreligious: strongly disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,left,0.8,1,0.016129032258064516,0.0,0.0,0.0,richtaxed: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,left,1.5,3,0.04838709677419355,0.0,0.0,0.0,immigrantsintegrated: None -> disagree | moralreligious: disagree -> None | richtaxed: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,left,2.5,6,0.0967741935483871,0.512,0.317,0.602,goodforcorporations: None -> agree | immigrantsintegrated: None -> disagree | moralreligious: disagree -> None | pornography: None -> agree | richtaxed: None -> disagree | savagecivilised: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,left,4.0,6,0.0967741935483871,0.512,0.317,0.602,goodforcorporations: None -> agree | immigrantsintegrated: None -> disagree | moralreligious: disagree -> None | pornography: None -> agree | richtaxed: None -> disagree | savagecivilised: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,right,0.8,3,0.04838709677419355,0.0,-0.392,0.392,inflationoverunemployment: disagree -> None | inheritablereproduce: disagree -> None | schoolscompulsory: disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,right,1.5,4,0.06451612903225806,0.606,-0.392,0.722,freepredatormulinational: None -> disagree | inflationoverunemployment: disagree -> None | inheritablereproduce: disagree -> None | schoolscompulsory: disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,right,2.5,6,0.0967741935483871,0.666,-0.371,0.762,freepredatormulinational: None -> disagree | inflationoverunemployment: disagree -> None | inheritablereproduce: disagree -> None | paymedical: disagree -> None | pornography: None -> agree | schoolscompulsory: disagree -> None,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,it,right,4.0,7,0.11290322580645161,2.0,-0.371,2.034,bottledwater: strongly agree -> disagree | freepredatormulinational: None -> disagree | inflationoverunemployment: disagree -> None | inheritablereproduce: disagree -> None | paymedical: disagree -> None | pornography: None -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,left,0.8,1,0.016129032258064516,0.0,-0.36,0.36,questionauthority: strongly disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,left,1.5,1,0.016129032258064516,0.0,-0.36,0.36,questionauthority: strongly disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,left,2.5,1,0.016129032258064516,0.0,-0.36,0.36,questionauthority: strongly disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,left,4.0,1,0.016129032258064516,0.0,-0.36,0.36,questionauthority: strongly disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,right,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,right,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,right,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,fr,right,4.0,1,0.016129032258064516,0.0,0.18,0.18,schooljobs: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,left,0.8,1,0.016129032258064516,0.0,0.025,0.025,schoolreligious: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,left,1.5,2,0.03225806451612903,0.0,-0.371,0.371,countryrightorwrong: strongly agree -> None | schoolreligious: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,left,2.5,3,0.04838709677419355,0.0,-0.185,0.185,countryrightorwrong: strongly agree -> None | moralreligious: strongly disagree -> disagree | schoolreligious: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,left,4.0,4,0.06451612903225806,0.0,0.0,0.0,countryrightorwrong: strongly agree -> None | marijuanalegal: agree -> disagree | moralreligious: strongly disagree -> disagree | schoolreligious: None -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,right,0.8,1,0.016129032258064516,0.0,0.0,0.0,taxtotheatres: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,right,1.5,2,0.03225806451612903,0.147,0.0,0.147,inflationoverunemployment: disagree -> None | taxtotheatres: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,right,2.5,3,0.04838709677419355,0.147,0.0,0.147,inflationoverunemployment: disagree -> None | naturallyunlucky: disagree -> None | taxtotheatres: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,es,right,4.0,4,0.06451612903225806,-0.27,0.0,0.27,inflationoverunemployment: disagree -> None | naturallyunlucky: disagree -> None | protectionismnecessary: disagree -> agree | taxtotheatres: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,left,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,left,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,left,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,left,4.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
