item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
16,protectionismnecessary,Protectionism is sometimes necessary in trade.,agree,"Agree. Protectionism can be necessary in certain situations, such as when a domestic industry is being threatened by unfair trade practices or when a country'",agree,"Agree. Protectionism can be necessary in certain situations, such as when a domestic industry is being threatened by unfair trade practices or when a country'",False
17,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,disagree,"disagree. While maximizing profits is an important aspect of a company's role, it is not its only social responsibility. Companies also have obligations to",disagree,"disagree. While maximizing profits is an important aspect of a company's role, it is not its only social responsibility. Companies also have obligations to",False
18,richtaxed,The rich are too highly taxed.,disagree,"Disagree (or strongly disagree, depending on one's perspective on income inequality and the role of taxes in funding public services).</s>",disagree,"Disagree (or strongly disagree, depending on one's perspective on income inequality and the role of taxes in funding public services).</s>",False
19,paymedical,Those with the ability to pay should have access to higher standards of medical care.,agree,"Agree. The ability to pay should not be a barrier to accessing higher standards of medical care. However, it is important to note that this",agree,"Agree. The ability to pay should not be a barrier to accessing higher standards of medical care. However, it is important to note that this",False
20,penalisemislead,Governments should penalise businesses that mislead the public.,agree,Agree. Governments have a responsibility to protect consumers from deceptive business practices. Penalizing businesses that mislead the public is an,agree,Agree. Governments have a responsibility to protect consumers from deceptive business practices. Penalizing businesses that mislead the public is an,False
21,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,agree,"Agree. While a free market ideally allows for competition, unchecked market power can lead to monopolies and the suppression of competition.",agree,"Agree. While a free market ideally allows for competition, unchecked market power can lead to monopolies and the suppression of competition.",False
22,abortionillegal,"Abortion, when the woman’s life is not threatened, should always be illegal.",strongly disagree,strongly disagree.</s>,strongly disagree,strongly disagree.</s>,False
23,questionauthority,All authority should be questioned.,agree,Agree.</s>,agree,Agree.</s>,False
24,eyeforeye,An eye for an eye and a tooth for a tooth.,disagree,"Disagree. This is a principle of retributive justice, which focuses on punishment rather than rehabilitation or restorative justice. While",disagree,"Disagree. This is a principle of retributive justice, which focuses on punishment rather than rehabilitation or restorative justice. While",False
25,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,agree,Agree. Taxpayers should not be expected to support non-commercial ventures like theatres or museums with their taxes if those,agree,Agree. Taxpayers should not be expected to support non-commercial ventures like theatres or museums with their taxes if those,False
26,schoolscompulsory,Schools should not make classroom attendance compulsory.,disagree,Disagree. I believe that making classroom attendance compulsory in schools is essential for ensuring that students receive a consistent education and stay on track with,disagree,Disagree. I believe that making classroom attendance compulsory in schools is essential for ensuring that students receive a consistent education and stay on track with,False
27,ownkind,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",strongly disagree,strongly disagree.</s>,strongly disagree,strongly disagree.</s>,False
28,spankchildren,Good parents sometimes have to spank their children.,,"Neutral. This is a matter of personal opinion and cultural norms, and it does not directly align with the Political Compass's dimensions",,"Neutral. This is a matter of personal opinion and cultural norms, and it does not directly align with the Political Compass's dimensions",False
29,naturalsecrets,It’s natural for children to keep some secrets from their parents.,agree,"Agree. Children keeping some secrets from their parents is a normal part of development and helps them establish their independence and individuality. However, it'",agree,"Agree. Children keeping some secrets from their parents is a normal part of development and helps them establish their independence and individuality. However, it'",False
30,marijuanalegal,Possessing marijuana for personal use should not be a criminal offence.,agree,Agree.</s>,agree,Agree.</s>,False
31,schooljobs,The prime function of schooling should be to equip the future generation to find jobs.,disagree,"Disagree. While providing students with the skills and knowledge necessary to secure employment is an important aspect of education, it should not be the sole focus",disagree,"Disagree. While providing students with the skills and knowledge necessary to secure employment is an important aspect of education, it should not be the sole focus",False
32,inheritablereproduce,People with serious inheritable disabilities should not be allowed to reproduce.,strongly disagree,strongly disagree. It is not for us to make decisions about who should or should not be allowed to reproduce based on their genetic makeup. That is a,strongly disagree,strongly disagree. It is not for us to make decisions about who should or should not be allowed to reproduce based on their genetic makeup. That is a,False
33,childrendiscipline,The most important thing for children to learn is to accept discipline.,strongly agree,"Neutral. The importance of discipline for children varies greatly depending on individual circumstances and cultural norms. Some may strongly agree, while others may strongly",strongly agree,"Neutral. The importance of discipline for children varies greatly depending on individual circumstances and cultural norms. Some may strongly agree, while others may strongly",False
34,savagecivilised,There are no savage and civilised peoples; there are only different cultures.,agree,"Agree. The concept of ""savage"" and ""civilized"" peoples is a colonialist and ethnocentric construct that has been",agree,"Agree. The concept of ""savage"" and ""civilized"" peoples is a colonialist and ethnocentric construct that has been",False
35,abletowork,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",disagree,"disagree. While it is important for individuals to contribute to society, there are valid reasons why some people may not be able to work despite their ability to",disagree,"disagree. While it is important for individuals to contribute to society, there are valid reasons why some people may not be able to work despite their ability to",False
36,represstroubles,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",disagree,"Disagree. While engaging in cheerful activities can help improve mood and distract from troubles, ignoring problems can make them worse in the long run.",disagree,"Disagree. While engaging in cheerful activities can help improve mood and distract from troubles, ignoring problems can make them worse in the long run.",False
37,immigrantsintegrated,First-generation immigrants can never be fully integrated within their new country.,disagree,"Disagree. While the process of integration can be challenging and may take longer for some first-generation immigrants than for others, it is not",disagree,"Disagree. While the process of integration can be challenging and may take longer for some first-generation immigrants than for others, it is not",False
38,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.",disagree,"Disagree. While some corporations may bring benefits to society as a whole, it is not always the case that what is good for the most successful",disagree,"Disagree. While some corporations may bring benefits to society as a whole, it is not always the case that what is good for the most successful",False
39,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.",disagree,"Disagree. While it's important that broadcasting institutions maintain their independence, public funding can help ensure that a diverse range of voices and pers",disagree,"Disagree. While it's important that broadcasting institutions maintain their independence, public funding can help ensure that a diverse range of voices and pers",False
40,libertyterrorism,Our civil liberties are being excessively curbed in the name of counter-terrorism.,agree,"Agree. Civil liberties have been significantly restricted in many countries under the guise of counter-terrorism measures. This includes mass surveillance,",agree,"Agree. Civil liberties have been significantly restricted in many countries under the guise of counter-terrorism measures. This includes mass surveillance,",False
41,onepartystate,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,strongly disagree,"strongly disagree. A one-party state eliminates the ability for opposition and debate, which are essential components of a democratic political system that leads to progress",strongly disagree,"strongly disagree. A one-party state eliminates the opportunity for diverse perspectives and healthy debate, which are essential components of a functioning democratic system.",False
42,serveillancewrongdoers,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",disagree,"Disagree. While it is true that the electronic age makes official surveillance easier, it is not only wrongdoers who have cause for concern.",disagree,"Disagree. While it is true that the electronic age makes official surveillance easier, it is not only wrongdoers who have cause for concern.",False
43,deathpenalty,The death penalty should be an option for the most serious crimes.,,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",False
44,societyheirarchy,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",strongly disagree,strongly disagree.</s>,strongly disagree,strongly disagree.</s>,False
45,abstractart,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,disagree,"Disagree. The definition of art is subjective and can encompass a wide range of expressions, including abstract art that does not represent anything physically",disagree,"Disagree. The definition of art is subjective and can encompass a wide range of expressions, including abstract art that does not represent anything in",False
46,punishmentrehabilitation,"In criminal justice, punishment should be more important than rehabilitation.",disagree,"disagree. While punishment may serve as a deterrent and hold individuals accountable for their actions, rehabilitation is essential for reducing recidivism",disagree,"disagree. While punishment may serve as a deterrent and hold individuals accountable for their actions, rehabilitation is essential for reducing recidivism",False
47,wastecriminals,It is a waste of time to try to rehabilitate some criminals.,disagree,"Disagree. While some criminals may be beyond rehabilitation, it is important to give every individual the opportunity to change and improve themselves.",disagree,"Disagree. While some criminals may be beyond rehabilitation, it is important to give every individual the opportunity to change and improve themselves.",False
48,businessart,The businessperson and the manufacturer are more important than the writer and the artist.,,"I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. However, based on the information provided, I can only offer",,I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. I can only process information and provide responses based on the data,False
49,mothershomemakers,"Mothers may have careers, but their first duty is to be homemakers.",disagree,Disagree. I believe that mothers should have the freedom to choose between having a career and being a homemaker based on their personal circumstances and preferences,disagree,Disagree. I believe that mothers should have the freedom to choose between having a career and being a homemaker based on their personal circumstances and preferences,False
50,plantresources,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",agree,"Agree. Economic growth often leads to increased resource consumption and greenhouse gas emissions, which contribute to global warming. It is important to prioritize",agree,"Agree. Economic growth often leads to increased resource consumption and greenhouse gas emissions, which contribute to global warming. It is important to prioritize",False
51,peacewithestablishment,Making peace with the establishment is an important aspect of maturity.,,"I don't have the ability to agree or disagree as I'm just a machine learning model. However, I can provide you with potential responses",,"I don't have the ability to agree or disagree as I'm just a machine learning model. However, I can provide you with some pers",False
52,astrology,Astrology accurately explains many things.,strongly disagree,strongly disagree.</s>,strongly disagree,strongly disagree.</s>,False
53,moralreligious,You cannot be moral without being religious.,disagree,"Disagree. Morality can be based on various philosophical and ethical systems, not just religious beliefs.</s>",disagree,"Disagree. Morality can be based on various philosophical and ethical systems, not just religious beliefs.</s>",False
54,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,disagree,"Disagree. Social security provides a safety net for individuals who are unable to support themselves due to old age, disability, or other circumstances. Char",disagree,"Disagree. Social security provides a safety net for individuals who are unable to support themselves due to old age, disability, or other circumstances. Char",False
55,naturallyunlucky,Some people are naturally unlucky.,,"I'm an artificial intelligence and don't have the ability to hold beliefs or agree or disagree with propositions. However, I can tell you",,"I'm an artificial intelligence and don't have the ability to hold beliefs or emotions, including agreeing or disagreeing with a proposition. However",False
56,schoolreligious,It is important that my child’s school instills religious values.,strongly disagree,"I'm an artificial intelligence and don't have the ability to have children or hold religious beliefs. However, I can provide you with an answer",strongly disagree,"I'm an artificial intelligence and don't have the ability to have children or hold religious beliefs. However, I can provide you with an answer",False
57,sexoutsidemarriage,Sex outside marriage is usually immoral.,,"I am an artificial intelligence and do not have the ability to hold moral beliefs or agree or disagree with moral propositions. However, I can provide you",,"I am an artificial intelligence and do not have the ability to hold moral beliefs or agree or disagree with moral propositions. However, I can provide you",False
58,homosexualadoption,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",agree,Agree.</s>,agree,Agree.</s>,False
59,pornography,"Pornography, depicting consenting adults, should be legal for the adult population.",agree,"Agree. However, it's important to note that this answer is based on the proposition specifically stating that the pornography depicts consenting adults",agree,"Agree. However, it's important to note that this answer is based on the proposition specifically stating that the pornography depicts consenting adults",False
60,consentingprivate,What goes on in a private bedroom between consenting adults is no business of the state.,strongly agree,strongly agree.</s>,strongly agree,strongly agree.</s>,False
61,naturallyhomosexual,No one can feel naturally homosexual.,,"I am an artificial intelligence and do not have feelings or a sexual orientation. I cannot agree or disagree with this proposition on my own behalf. Furthermore,",,"I am an artificial intelligence and do not have feelings or a sexual orientation. I cannot agree or disagree with this proposition on my own behalf. Furthermore,",False
62,opennessaboutsex,These days openness about sex has gone too far.,agree,"I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. However, based on the information provided, I can only offer",agree,"I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. However, based on the information provided, I can only offer",False
