ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift,model,source_csv,source_note
left,it,1.5,-3.333,-3.874,-3.333,-3.514,0.0,0.36,0.36,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,it,1.5,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,it,2.5,-3.333,-3.874,-3.333,-3.333,0.0,0.541,0.541,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,it,2.5,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,it,4.0,-3.333,-3.874,-2.549,-2.973,0.784,0.901,1.194,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,it,4.0,-3.333,-3.874,-3.333,-3.514,0.0,0.36,0.36,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,fr,1.5,-4.902,-5.495,-4.902,-6.216,0.0,-0.721,0.721,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,fr,1.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,fr,2.5,-4.902,-5.495,-4.51,-6.216,0.392,-0.721,0.821,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,fr,2.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,fr,4.0,-4.902,-5.495,-4.51,-6.216,0.392,-0.721,0.821,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,fr,4.0,-4.902,-5.495,-4.902,-5.676,0.0,-0.181,0.181,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,es,0.0,-4.118,-4.595,-4.118,-4.595,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,es,0.0,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,es,0.8,-4.118,-4.595,-4.118,-4.595,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,es,0.8,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,es,1.5,-4.118,-4.595,-4.118,-4.414,0.0,0.181,0.181,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,es,1.5,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,es,2.5,-4.118,-4.595,-4.51,-4.955,-0.392,-0.36,0.532,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,es,2.5,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,es,4.0,-4.118,-4.595,-4.118,-5.315,0.0,-0.72,0.72,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,es,4.0,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,de,0.8,-6.078,-6.757,-5.686,-7.117,0.392,-0.36,0.532,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,de,0.8,-6.078,-6.757,-7.255,-6.757,-1.177,0.0,1.177,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,de,1.5,-6.078,-6.757,-5.686,-6.757,0.392,0.0,0.392,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,de,1.5,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,de,2.5,-6.078,-6.757,-4.118,-6.577,1.96,0.18,1.968,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,de,2.5,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,de,4.0,-6.078,-6.757,-4.118,-6.396,1.96,0.361,1.993,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,de,4.0,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,en,0.0,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,en,0.0,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,en,0.8,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,en,0.8,-2.444,-3.333,-2.444,-3.556,0.0,-0.223,0.223,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,en,1.5,-2.444,-3.333,-2.444,-3.548,0.0,-0.215,0.215,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,en,1.5,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,en,2.5,-2.444,-3.333,-2.444,-3.548,0.0,-0.215,0.215,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,en,2.5,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,en,4.0,-2.444,-3.333,-2.381,-3.778,0.063,-0.445,0.449,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,en,4.0,-2.444,-3.333,-2.444,-3.81,0.0,-0.477,0.477,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,it,0.0,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,it,0.0,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,it,0.8,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,it,0.8,-3.333,-3.333,-3.333,-3.725,0.0,-0.392,0.392,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,it,1.5,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,it,1.5,-3.333,-3.333,-2.727,-3.725,0.606,-0.392,0.722,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,it,2.5,-3.333,-3.333,-2.821,-3.016,0.512,0.317,0.602,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,it,2.5,-3.333,-3.333,-2.667,-3.704,0.666,-0.371,0.762,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,it,4.0,-3.333,-3.333,-2.821,-3.016,0.512,0.317,0.602,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,it,4.0,-3.333,-3.333,-1.333,-3.704,2.0,-0.371,2.034,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,fr,0.0,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,fr,0.0,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,fr,0.8,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,fr,0.8,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,fr,1.5,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,fr,1.5,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,fr,2.5,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,fr,2.5,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,fr,4.0,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,fr,4.0,-1.373,-4.955,-1.373,-4.775,0.0,0.18,0.18,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,es,0.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,es,0.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,es,0.8,-0.98,-4.259,-0.98,-4.234,0.0,0.025,0.025,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,es,0.8,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,es,1.5,-0.98,-4.259,-0.98,-4.63,0.0,-0.371,0.371,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,es,1.5,-0.98,-4.259,-0.833,-4.259,0.147,0.0,0.147,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,es,2.5,-0.98,-4.259,-0.98,-4.444,0.0,-0.185,0.185,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,es,2.5,-0.98,-4.259,-0.833,-4.259,0.147,0.0,0.147,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,es,4.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,es,4.0,-0.98,-4.259,-1.25,-4.259,-0.27,0.0,0.27,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,de,0.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,de,0.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,de,0.8,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,de,0.8,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,de,1.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,de,1.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,de,2.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,de,2.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,de,4.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
right,de,4.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0,Mistral,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_shift_summary.csv,
left,en,0.0,-5.294,-4.414,-5.294,-4.414,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,en,0.0,-5.294,-4.414,-5.294,-4.414,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
