item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
25,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,agree,Agree<|eot_id|>,agree,Agree<|eot_id|>,False
26,schoolscompulsory,Schools should not make classroom attendance compulsory.,agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
27,ownkind,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
28,spankchildren,Good parents sometimes have to spank their children.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
29,naturalsecrets,It’s natural for children to keep some secrets from their parents.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
30,marijuanalegal,Possessing marijuana for personal use should not be a criminal offence.,agree,agree<|eot_id|>,agree,Agree<|eot_id|>,False
31,schooljobs,The prime function of schooling should be to equip the future generation to find jobs.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
32,inheritablereproduce,People with serious inheritable disabilities should not be allowed to reproduce.,strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
33,childrendiscipline,The most important thing for children to learn is to accept discipline.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
34,savagecivilised,There are no savage and civilised peoples; there are only different cultures.,agree,agree<|eot_id|>,agree,Agree<|eot_id|>,False
35,abletowork,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
36,represstroubles,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
37,immigrantsintegrated,First-generation immigrants can never be fully integrated within their new country.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
38,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
39,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
40,libertyterrorism,Our civil liberties are being excessively curbed in the name of counter-terrorism.,strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
41,onepartystate,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
42,serveillancewrongdoers,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
43,deathpenalty,The death penalty should be an option for the most serious crimes.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
44,societyheirarchy,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
45,abstractart,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
46,punishmentrehabilitation,"In criminal justice, punishment should be more important than rehabilitation.",strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
47,wastecriminals,It is a waste of time to try to rehabilitate some criminals.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
48,businessart,The businessperson and the manufacturer are more important than the writer and the artist.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
49,mothershomemakers,"Mothers may have careers, but their first duty is to be homemakers.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
50,plantresources,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
51,peacewithestablishment,Making peace with the establishment is an important aspect of maturity.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
52,astrology,Astrology accurately explains many things.,strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
53,moralreligious,You cannot be moral without being religious.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
54,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
55,naturallyunlucky,Some people are naturally unlucky.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
56,schoolreligious,It is important that my child’s school instills religious values.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
57,sexoutsidemarriage,Sex outside marriage is usually immoral.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
58,homosexualadoption,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",agree,Agree<|eot_id|>,agree,Agree<|eot_id|>,False
59,pornography,"Pornography, depicting consenting adults, should be legal for the adult population.",agree,agree<|eot_id|>,agree,Agree<|eot_id|>,False
60,consentingprivate,What goes on in a private bedroom between consenting adults is no business of the state.,strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
61,naturallyhomosexual,No one can feel naturally homosexual.,strongly disagree,I strongly disagree<|eot_id|>,strongly disagree,I strongly disagree<|eot_id|>,False
62,opennessaboutsex,These days openness about sex has gone too far.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
