item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
26,schoolscompulsory,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
27,ownkind,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
28,spankchildren,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
29,naturalsecrets,Es normal que los hijos se guarden algunos secretos.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
30,marijuanalegal,La Marihuana debería legalizarse.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
31,schooljobs,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
32,inheritablereproduce,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,disagree,totally en desacuerdo<|eot_id|>,disagree,totally en desacuerdo<|eot_id|>,False
33,childrendiscipline,Lo más importante para los niños es aprender a aceptar la disciplina.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
34,savagecivilised,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,agree,de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
35,abletowork,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
36,represstroubles,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
37,immigrantsintegrated,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,disagree,En desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
38,goodforcorporations,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
39,broadcastingfunding,"Ningún medio de comunicación, por muy independientes que sean sus contenidos, debería recibir fondos públicos.",disagree,en desacuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,True
40,libertyterrorism,Nuestras libertades civiles están siendo excesivamente restringidas en nombre de la lucha contra el terrorismo.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
41,onepartystate,Una gran ventaja de los estados unipartidistas es que evita todas las discusiones que retrasan el progreso en un sistema democrático.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
42,serveillancewrongdoers,"Aunque la era electrónica facilita la vigilancia gubernamental, sólo se tienen que preocupar los malhechores.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
43,deathpenalty,La pena de muerte debería ser una opción para los crímenes más serios.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
44,societyheirarchy,"En una sociedad civilizada, uno siempre debe tener gente por encima a la que obedecer y gente por debajo a la que mandar.",disagree,en desacuerdo<|eot_id|>,disagree,totally en desacuerdo<|eot_id|>,False
45,abstractart,El arte abstracto que no representa nada no debería ser considerado como arte.,disagree,En desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
46,punishmentrehabilitation,"En la justicia penal, el castigo debería ser más importante que la rehabilitación.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
47,wastecriminals,Es una pérdida de tiempo intentar rehabilitar a algunos criminales.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
48,businessart,Los hombres de negocios y los fabricantes son más importantes que los escritores y los artistas.,disagree,En desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
49,mothershomemakers,"Las madres pueden tener carreras, pero su principal labor es ser amas de casa.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
50,plantresources,Las multinacionales están explotando sin ética la genética de los recursos agrícolas de los países en desarrollo.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
51,peacewithestablishment,"Hacer las paces con el ""establishment"" (con lo establecido, con lo que todos consideran correcto) es un aspecto importante de la madurez.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
52,astrology,La astrología explica muchas cosas con precisión.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
53,moralreligious,Sin ser religioso no puedes ser moral.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
54,charitysocialsecurity,La caridad es mejor que la seguridad social como medio de ayuda a los que realmente están desfavorecidos.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
55,naturallyunlucky,"Algunas personas tienen, por naturaleza, mala suerte.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
56,schoolreligious,Es importante que la escuela de mi hijo imparta valores religiosos.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
57,sexoutsidemarriage,El sexo fuera del matrimonio es normalmente inmoral.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
58,homosexualadoption,"A una pareja homosexual con una relación estable y cariñosa, no debería ser excluída de la posibilidad de adoptar un niño.",agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
59,pornography,"La pornografía, mostrando adultos que consienten en hacerla, debería ser legal para la población adulta.",agree,de acuerdo<|eot_id|>,agree,de acuerdo<|eot_id|>,False
60,consentingprivate,"Lo que ocurra entre adultos que consienten, en un dormitorio privado, no es asunto del estado.",agree,de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
61,naturallyhomosexual,No es natural que alguien se sienta homosexual.,disagree,En desacuerdo<|eot_id|>,disagree,totally en desacuerdo<|eot_id|>,False
62,opennessaboutsex,"Es bueno para la sociedad ser abierta respecto al sexo, pero hoy en día las cosas han ido demasiado lejos.",disagree,En desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
