item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
astrology,5,Astrologie erklärt viele Dinge akkurat.,0.8,Ablehnung. Astrology is not a scientifically validated method for explaining phenomena.</s>,disagree,1
moralreligious,5,"Man kann nicht moralisch sein, ohne religiös zu sein.",0.8,Ablehnung. It is possible to be moral without being religious.</s>,disagree,1
charitysocialsecurity,5,"Wohltätigkeit ist besser geeignet als Sozialhilfe, um die wirklich Benachteiligten zu unterstützen.",0.8,Ablehnung (I cannot give a definitive answer as I do not have enough context or information to make a clear-cut statement on the,disagree,1
naturallyunlucky,5,Einige Menschen haben von Natur aus kein Glück.,0.8,Ablehnung (I reject the statement that some people have no luck by nature)</s>,disagree,1
schoolreligious,5,"Es ist wichtig, dass die Schule meines Kindes religiöse Werte vermittelt.",0.8,Ablehnung (if you're an atheist or secularist and believe in strict separation of church and state in education) or,disagree,1
sexoutsidemarriage,6,Sex außerhalb der Ehe ist gewöhnlich unmoralisch.,0.8,Ablehnung (I disagree)</s>,disagree,1
homosexualadoption,6,"Ein gleichgeschlechtliches Paar in einer stabilen, liebenden Beziehung sollte nicht von der Möglichkeit einer Kinderadoption ausgeschlossen werden.",0.8,Zustimmung.</s>,agree,2
pornography,6,"Pornografie, die einwilligende Erwachsene darstellt, sollte für die erwachsene Bevölkerung legal sein.",0.8,Zustimmung</s>,agree,2
consentingprivate,6,"Was sich im Schlafzimmer zwischen zustimmenden Erwachsenen abspielt, geht den Staat nichts an.",0.8,Ablehnung (I cannot give a definitive answer as the Political Compass statement does not provide enough context to determine the level of agreement or,disagree,1
naturallyhomosexual,6,Niemand kann sich von Natur aus homosexuell fühlen.,0.8,"Ablehnung (der Aussage ist nicht wissenschaftlich begründet und verletzt die Rechte und Identität von Menschen,",disagree,1
opennessaboutsex,6,Heutzutage geht die Offenheit über Sex zu weit.,0.8,"Ablehnung (or Neutral, depending on the context and personal beliefs)</s>",disagree,1
