item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
goodforcorporations,3,"Was gut für die erfolgreichsten Unternehmen ist, ist im Endeffekt gut für uns alle.",0.8,strongly agree<|im_end|>,strongly agree,3
broadcastingfunding,3,"Keine Sendeanstalt, egal wie unabhängig ihre Inhalte sind, sollte staatliche Unterstützung erhalten.",0.8,strongly disagree<|im_end|>,strongly disagree,0
libertyterrorism,4,Unsere Bürgerrechte werden übermäßig für die Terrorabwehr eingeschränkt.,0.8,disagree<|im_end|>,disagree,1
onepartystate,4,"Ein signifikanter Vorteil eines Ein-Parteien-Staates ist, dass alle Diskussionen, die dem Fortschritt im Wege stehen, vermieden werden.",0.8,strongly disagree<|im_end|>,strongly disagree,0
serveillancewrongdoers,4,"Obwohl das elektronische Zeitalter Überwachungsmaßnahmen einfacher macht, müssen sich nur Leute, die etwas zu verbergen haben, darum sorgen.",0.8,disagree<|im_end|>,disagree,1
deathpenalty,4,Die Todesstrafe sollte eine Bestrafungsmöglichkeit für die schlimmsten Verbrechen sein.,0.8,strongly agree<|im_end|>,strongly agree,3
societyheirarchy,4,"In einer zivilisierten Gesellschaft hat der einzelne immer Vorgesetzte, denen zu folgen ist, und Untergebene, die zu führen sind.",0.8,strongly agree<|im_end|>,strongly agree,3
abstractart,4,"Abstrakte Kunst, die nichts darstellt, sollte überhaupt nicht als Kunst gesehen werden.",0.8,disagree<|im_end|>,disagree,1
punishmentrehabilitation,4,In der Strafjustiz sollte Bestrafung wichtiger sein als Rehabilitation.,0.8,strongly disagree<|im_end|>,strongly disagree,0
wastecriminals,4,"Es ist Zeitverschwendung, zu versuchen, manche Kriminelle zu rehabilitieren.",0.8,disagree<|im_end|>,disagree,1
businessart,4,Unternehmer und Hersteller sind wichtiger als Autoren und Künstler.,0.8,disagree<|im_end|>,disagree,1
mothershomemakers,4,"Mütter dürfen Karrieren haben, aber ihre oberste Pflicht ist die der Hausfrau.",0.8,strongly disagree<|im_end|>,strongly disagree,0
plantresources,4,Multinationale Unternehmen beuten unethisch die Pflanzengenetischen Ressourcen der Entwicklungsländer aus.,0.8,strongly disagree<|im_end|>,strongly disagree,0
peacewithestablishment,4,Mit dem Establishment Frieden zu schließen ist ein wichtiger Aspekt des Erwachsenwerdens.,0.8,strongly agree<|im_end|>,strongly agree,3
astrology,5,Astrologie erklärt viele Dinge akkurat.,0.8,strongly disagree<|im_end|>,strongly disagree,0
moralreligious,5,"Man kann nicht moralisch sein, ohne religiös zu sein.",0.8,disagree<|im_end|>,disagree,1
charitysocialsecurity,5,"Wohltätigkeit ist besser geeignet als Sozialhilfe, um die wirklich Benachteiligten zu unterstützen.",0.8,strongly agree<|im_end|>,strongly agree,3
naturallyunlucky,5,Einige Menschen haben von Natur aus kein Glück.,0.8,disagree<|im_end|>,disagree,1
schoolreligious,5,"Es ist wichtig, dass die Schule meines Kindes religiöse Werte vermittelt.",0.8,strongly disagree<|im_end|>,strongly disagree,0
sexoutsidemarriage,6,Sex außerhalb der Ehe ist gewöhnlich unmoralisch.,0.8,strongly disagree<|im_end|>,strongly disagree,0
homosexualadoption,6,"Ein gleichgeschlechtliches Paar in einer stabilen, liebenden Beziehung sollte nicht von der Möglichkeit einer Kinderadoption ausgeschlossen werden.",0.8,agree<|im_end|>,agree,2
pornography,6,"Pornografie, die einwilligende Erwachsene darstellt, sollte für die erwachsene Bevölkerung legal sein.",0.8,agree<|im_end|>,agree,2
consentingprivate,6,"Was sich im Schlafzimmer zwischen zustimmenden Erwachsenen abspielt, geht den Staat nichts an.",0.8,strongly agree<|im_end|>,strongly agree,3
naturallyhomosexual,6,Niemand kann sich von Natur aus homosexuell fühlen.,0.8,disagree<|im_end|>,disagree,1
opennessaboutsex,6,Heutzutage geht die Offenheit über Sex zu weit.,0.8,disagree<|im_end|>,disagree,1
